round,plate,row,col,od600,od750,r2emptyblank600,r2emptyblank750,r2ROblank600,r2ROblank750,blankod600,blankod750,note
2,1,A,1,0.041,0.039,0.038,0.036,0.04,0.039,0.001,0,blankodcols are difference between sample and ÒROÓ reverse osmosis water
2,1,B,1,0.044,0.042,0.036,0.034,0.037,0.037,0.007,0.005,samples are 60ul
2,1,C,1,0.04,0.039,0.037,0.034,0.037,0.037,0.003,0.002,
2,1,D,1,0.042,0.041,0.036,0.034,0.038,0.037,0.004,0.004,
2,1,E,1,0.04,0.039,0.037,0.036,0.04,0.04,0,-0.001,
2,1,F,1,0.042,0.041,0.038,0.035,0.039,0.039,0.003,0.002,
2,1,G,1,0.042,0.041,0.037,0.035,0.04,0.039,0.002,0.002,
2,1,H,1,0.048,0.046,0.038,0.036,0.043,0.042,0.005,0.004,
2,1,A,2,0.048,0.046,0.038,0.037,0.039,0.04,0.009,0.006,
2,1,B,2,0.047,0.045,0.036,0.037,0.038,0.039,0.009,0.006,
2,1,C,2,0.048,0.045,0.038,0.034,0.039,0.037,0.009,0.008,
2,1,D,2,0.055,0.049,0.037,0.034,0.038,0.038,0.017,0.011,
2,1,E,2,0.047,0.046,0.036,0.035,0.038,0.038,0.009,0.008,
2,1,F,2,0.039,0.042,0.036,0.034,0.038,0.04,0.001,0.002,
2,1,G,2,0.055,0.048,0.036,0.034,0.039,0.038,0.016,0.01,
2,1,H,2,0.057,0.051,0.036,0.034,0.04,0.039,0.017,0.012,
2,1,A,3,0.041,0.041,0.039,0.037,0.04,0.04,0.001,0.001,
2,1,B,3,0.039,0.041,0.036,0.037,0.037,0.039,0.002,0.002,
2,1,C,3,0.043,0.041,0.037,0.034,0.038,0.037,0.005,0.004,
2,1,D,3,0.041,0.04,0.038,0.035,0.04,0.038,0.001,0.002,
2,1,E,3,0.044,0.041,0.037,0.034,0.039,0.037,0.005,0.004,
2,1,F,3,0.042,0.04,0.038,0.034,0.04,0.036,0.002,0.004,
2,1,G,3,0.04,0.04,0.037,0.036,0.039,0.039,0.001,0.001,
2,1,H,3,0.044,0.042,0.036,0.034,0.039,0.038,0.005,0.004,
2,1,A,4,0.041,0.042,0.038,0.036,0.04,0.04,0.001,0.002,
2,1,B,4,0.051,0.05,0.038,0.038,0.038,0.041,0.013,0.009,
2,1,C,4,0.062,0.054,0.038,0.034,0.038,0.036,0.024,0.018,
2,1,D,4,0.041,0.042,0.039,0.037,0.041,0.04,0,0.002,
2,1,E,4,0.05,0.049,0.036,0.038,0.039,0.041,0.011,0.008,
2,1,F,4,0.039,0.04,0.036,0.036,0.038,0.039,0.001,0.001,
2,1,G,4,0.039,0.04,0.036,0.035,0.038,0.039,0.001,0.001,
2,1,H,4,0.051,0.047,0.037,0.034,0.041,0.039,0.01,0.008,
2,1,A,5,0.04,0.04,0.037,0.035,0.04,0.041,0,-0.001,
2,1,B,5,0.043,0.043,0.036,0.036,0.039,0.042,0.004,0.001,
2,1,C,5,0.042,0.039,0.037,0.034,0.04,0.039,0.002,0,
2,1,D,5,0.04,0.041,0.037,0.036,0.039,0.041,0.001,0,
2,1,E,5,0.044,0.045,0.037,0.038,0.039,0.043,0.005,0.002,
2,1,F,5,0.041,0.039,0.038,0.035,0.041,0.041,0,-0.002,
2,1,G,5,0.039,0.041,0.036,0.037,0.039,0.043,0,-0.002,
2,1,H,5,0.073,0.075,0.038,0.036,0.041,0.042,0.032,0.033,
2,1,A,6,0.057,0.052,0.036,0.034,0.039,0.038,0.018,0.014,
2,1,B,6,0.04,0.039,0.036,0.034,0.039,0.038,0.001,0.001,
2,1,C,6,0.045,0.044,0.038,0.035,0.041,0.039,0.004,0.005,
2,1,D,6,0.042,0.042,0.037,0.035,0.039,0.039,0.003,0.003,
2,1,E,6,0.047,0.044,0.036,0.034,0.039,0.038,0.008,0.006,
2,1,F,6,0.04,0.043,0.036,0.034,0.039,0.038,0.001,0.005,
2,1,G,6,0.04,0.04,0.037,0.036,0.04,0.04,0,0,
2,1,H,6,0.044,0.042,0.038,0.035,0.04,0.039,0.004,0.003,
2,1,A,7,0.042,0.045,0.037,0.035,0.04,0.039,0.002,0.006,
2,1,B,7,0.043,0.043,0.036,0.034,0.038,0.038,0.005,0.005,
2,1,C,7,0.039,0.039,0.036,0.034,0.039,0.038,0,0.001,
2,1,D,7,0.04,0.04,0.037,0.034,0.039,0.039,0.001,0.001,
2,1,E,7,0.041,0.041,0.036,0.034,0.04,0.039,0.001,0.002,
2,1,F,7,0.043,0.041,0.037,0.035,0.039,0.038,0.004,0.003,
2,1,G,7,0.047,0.045,0.038,0.036,0.041,0.04,0.006,0.005,
2,1,H,7,0.049,0.049,0.04,0.041,0.045,0.047,0.004,0.002,
2,1,A,8,0.04,0.039,0.036,0.034,0.039,0.039,0.001,0,
2,1,B,8,0.04,0.039,0.036,0.033,0.039,0.038,0.001,0.001,
2,1,C,8,0.04,0.039,0.037,0.035,0.039,0.038,0.001,0.001,
2,1,D,8,0.039,0.039,0.036,0.035,0.039,0.039,0,0,
2,1,E,8,0.04,0.041,0.037,0.036,0.04,0.041,0,0,
2,1,F,8,0.04,0.04,0.038,0.036,0.039,0.039,0.001,0.001,
2,1,G,8,0.051,0.048,0.038,0.037,0.04,0.04,0.011,0.008,
2,1,H,8,0.049,0.046,0.039,0.035,0.041,0.04,0.008,0.006,
2,1,A,9,0.046,0.044,0.038,0.035,0.041,0.04,0.005,0.004,
2,1,B,9,0.04,0.04,0.036,0.034,0.039,0.039,0.001,0.001,
2,1,C,9,0.043,0.041,0.037,0.034,0.04,0.039,0.003,0.002,
2,1,D,9,0.04,0.04,0.038,0.037,0.041,0.04,-0.001,0,
2,1,E,9,0.044,0.045,0.036,0.038,0.04,0.043,0.004,0.002,
2,1,F,9,0.04,0.039,0.037,0.034,0.04,0.039,0,0,
2,1,G,9,0.04,0.042,0.036,0.037,0.038,0.041,0.002,0.001,
2,1,H,9,0.042,0.041,0.038,0.034,0.041,0.039,0.001,0.002,
2,1,A,10,0.041,0.04,0.037,0.034,0.04,0.039,0.001,0.001,
2,1,B,10,0.039,0.04,0.037,0.036,0.038,0.038,0.001,0.002,
2,1,C,10,0.039,0.039,0.037,0.034,0.039,0.038,0,0.001,
2,1,D,10,0.04,0.04,0.038,0.035,0.04,0.039,0,0.001,
2,1,E,10,0.041,0.042,0.037,0.037,0.042,0.042,-0.001,0,
2,1,F,10,0.05,0.046,0.038,0.034,0.04,0.038,0.01,0.008,
2,1,G,10,0.04,0.04,0.037,0.035,0.04,0.039,0,0.001,
2,1,H,10,0.049,0.045,0.037,0.034,0.041,0.039,0.008,0.006,
2,1,A,11,0.04,0.04,0.038,0.036,0.039,0.04,0.001,0,
2,1,B,11,0.04,0.04,0.038,0.036,0.039,0.039,0.001,0.001,
2,1,C,11,0.04,0.039,0.037,0.035,0.039,0.039,0.001,0,
2,1,D,11,0.04,0.039,0.037,0.035,0.039,0.039,0.001,0,
