round,plate,row,col,od600,od750,r2emptyblank600,r2emptyblank750,r2ROblank600,r2ROblank750,blankod600,blankod750,note
2,1,E,11,0.04,0.041,0.036,0.036,0.039,0.039,0.001,0.002,
2,1,F,11,0.042,0.044,0.039,0.039,0.042,0.043,0,0.001,
2,1,G,11,0.04,0.04,0.036,0.035,0.04,0.039,0,0.001,
2,1,H,11,0.04,0.04,0.037,0.034,0.04,0.039,0,0.001,
2,1,A,12,0.041,0.041,0.037,0.035,0.041,0.04,0,0.001,
2,1,B,12,0.039,0.039,0.036,0.034,0.039,0.038,0,0.001,
2,1,C,12,0.04,0.039,0.036,0.034,0.039,0.038,0.001,0.001,
2,1,D,12,0.041,0.04,0.037,0.034,0.04,0.039,0.001,0.001,
2,1,E,12,0.047,0.045,0.037,0.035,0.039,0.039,0.008,0.006,
2,1,F,12,0.04,0.04,0.038,0.036,0.04,0.039,0,0.001,
2,1,G,12,0.044,0.042,0.036,0.034,0.039,0.039,0.005,0.003,
2,1,H,12,0.04,0.04,0.037,0.034,0.041,0.04,-0.001,0,
2,2,A,1,0.046,0.044,0.038,0.036,0.04,0.039,0.006,0.005,
2,2,B,1,0.041,0.041,0.036,0.034,0.037,0.037,0.004,0.004,
2,2,C,1,0.042,0.041,0.037,0.034,0.037,0.037,0.005,0.004,
2,2,D,1,0.044,0.042,0.036,0.034,0.038,0.037,0.006,0.005,
2,2,E,1,0.043,0.043,0.037,0.036,0.04,0.04,0.003,0.003,
2,2,F,1,0.044,0.042,0.038,0.035,0.039,0.039,0.005,0.003,
2,2,G,1,0.043,0.041,0.037,0.035,0.04,0.039,0.003,0.002,
2,2,H,1,0.045,0.043,0.038,0.036,0.043,0.042,0.002,0.001,
2,2,A,2,0.044,0.043,0.038,0.037,0.039,0.04,0.005,0.003,
2,2,B,2,0.047,0.045,0.036,0.037,0.038,0.039,0.009,0.006,
2,2,C,2,0.046,0.042,0.038,0.034,0.039,0.037,0.007,0.005,
2,2,D,2,0.041,0.041,0.037,0.034,0.038,0.038,0.003,0.003,
2,2,E,2,0.042,0.042,0.036,0.035,0.038,0.038,0.004,0.004,
2,2,F,2,0.042,0.043,0.036,0.034,0.038,0.04,0.004,0.003,
2,2,G,2,0.042,0.04,0.036,0.034,0.039,0.038,0.003,0.002,
2,2,H,2,0.045,0.043,0.036,0.034,0.04,0.039,0.005,0.004,
2,2,A,3,0.043,0.042,0.039,0.037,0.04,0.04,0.003,0.002,
2,2,B,3,0.047,0.046,0.036,0.037,0.037,0.039,0.01,0.007,
2,2,C,3,0.046,0.043,0.037,0.034,0.038,0.037,0.008,0.006,
2,2,D,3,0.044,0.042,0.038,0.035,0.04,0.038,0.004,0.004,
2,2,E,3,0.043,0.041,0.037,0.034,0.039,0.037,0.004,0.004,
2,2,F,3,0.046,0.042,0.038,0.034,0.04,0.036,0.006,0.006,
2,2,G,3,0.045,0.043,0.037,0.036,0.039,0.039,0.006,0.004,
2,2,H,3,0.042,0.041,0.036,0.034,0.039,0.038,0.003,0.003,
2,2,A,4,0.044,0.043,0.038,0.036,0.04,0.04,0.004,0.003,
2,2,B,4,0.054,0.051,0.038,0.038,0.038,0.041,0.016,0.01,
2,2,C,4,0.052,0.046,0.038,0.034,0.038,0.036,0.014,0.01,
2,2,D,4,0.054,0.049,0.039,0.037,0.041,0.04,0.013,0.009,
2,2,E,4,0.049,0.052,0.036,0.038,0.039,0.041,0.01,0.011,
2,2,F,4,0.052,0.049,0.036,0.036,0.038,0.039,0.014,0.01,
2,2,G,4,0.045,0.044,0.036,0.035,0.038,0.039,0.007,0.005,
2,2,H,4,0.045,0.042,0.037,0.034,0.041,0.039,0.004,0.003,
2,2,A,5,0.042,0.041,0.037,0.035,0.04,0.041,0.002,0,
2,2,B,5,0.044,0.043,0.036,0.036,0.039,0.042,0.005,0.001,
2,2,C,5,0.042,0.04,0.037,0.034,0.04,0.039,0.002,0.001,
2,2,D,5,0.044,0.043,0.037,0.036,0.039,0.041,0.005,0.002,
2,2,E,5,0.045,0.046,0.037,0.038,0.039,0.043,0.006,0.003,
2,2,F,5,0.043,0.041,0.038,0.035,0.041,0.041,0.002,0,
2,2,G,5,0.044,0.047,0.036,0.037,0.039,0.043,0.005,0.004,
2,2,H,5,0.043,0.041,0.038,0.036,0.041,0.042,0.002,-0.001,
2,2,A,6,0.044,0.041,0.036,0.034,0.039,0.038,0.005,0.003,
2,2,B,6,0.047,0.044,0.036,0.034,0.039,0.038,0.008,0.006,
2,2,C,6,0.052,0.047,0.038,0.035,0.041,0.039,0.011,0.008,
2,2,D,6,0.05,0.047,0.037,0.035,0.039,0.039,0.011,0.008,
2,2,E,6,0.05,0.046,0.036,0.034,0.039,0.038,0.011,0.008,
2,2,F,6,0.048,0.044,0.036,0.034,0.039,0.038,0.009,0.006,
2,2,G,6,0.048,0.046,0.037,0.036,0.04,0.04,0.008,0.006,
2,2,H,6,0.043,0.041,0.038,0.035,0.04,0.039,0.003,0.002,
2,2,A,7,0.041,0.041,0.037,0.035,0.04,0.039,0.001,0.002,
2,2,B,7,0.044,0.042,0.036,0.034,0.038,0.038,0.006,0.004,
2,2,C,7,0.043,0.041,0.036,0.034,0.039,0.038,0.004,0.003,
2,2,D,7,0.044,0.041,0.037,0.034,0.039,0.039,0.005,0.002,
2,2,E,7,0.043,0.041,0.036,0.034,0.04,0.039,0.003,0.002,
2,2,F,7,0.044,0.042,0.037,0.035,0.039,0.038,0.005,0.004,
2,2,G,7,0.044,0.042,0.038,0.036,0.041,0.04,0.003,0.002,
2,2,H,7,0.05,0.048,0.04,0.041,0.045,0.047,0.005,0.001,
2,2,A,8,0.044,0.041,0.036,0.034,0.039,0.039,0.005,0.002,
2,2,B,8,0.05,0.046,0.036,0.033,0.039,0.038,0.011,0.008,
2,2,C,8,0.046,0.043,0.037,0.035,0.039,0.038,0.007,0.005,
2,2,D,8,0.047,0.045,0.036,0.035,0.039,0.039,0.008,0.006,
2,2,E,8,0.045,0.044,0.037,0.036,0.04,0.041,0.005,0.003,
2,2,F,8,0.045,0.044,0.038,0.036,0.039,0.039,0.006,0.005,
2,2,G,8,0.045,0.043,0.038,0.037,0.04,0.04,0.005,0.003,
2,2,H,8,0.044,0.042,0.039,0.035,0.041,0.04,0.003,0.002,
2,2,A,9,0.043,0.042,0.038,0.035,0.041,0.04,0.002,0.002,
2,2,B,9,0.044,0.042,0.036,0.034,0.039,0.039,0.005,0.003,
2,2,C,9,0.043,0.041,0.037,0.034,0.04,0.039,0.003,0.002,
2,2,D,9,0.043,0.042,0.038,0.037,0.041,0.04,0.002,0.002,
2,2,E,9,0.043,0.044,0.036,0.038,0.04,0.043,0.003,0.001,
2,2,F,9,0.042,0.04,0.037,0.034,0.04,0.039,0.002,0.001,
2,2,G,9,0.042,0.043,0.036,0.037,0.038,0.041,0.004,0.002,
2,2,H,9,0.043,0.041,0.038,0.034,0.041,0.039,0.002,0.002,
2,2,A,10,0.048,0.049,0.037,0.034,0.04,0.039,0.008,0.01,
2,2,B,10,0.044,0.043,0.037,0.036,0.038,0.038,0.006,0.005,
2,2,C,10,0.044,0.042,0.037,0.034,0.039,0.038,0.005,0.004,
2,2,D,10,0.044,0.042,0.038,0.035,0.04,0.039,0.004,0.003,
2,2,E,10,0.045,0.044,0.037,0.037,0.042,0.042,0.003,0.002,
2,2,F,10,0.047,0.043,0.038,0.034,0.04,0.038,0.007,0.005,
2,2,G,10,0.048,0.044,0.037,0.035,0.04,0.039,0.008,0.005,
2,2,H,10,0.044,0.041,0.037,0.034,0.041,0.039,0.003,0.002,
2,2,A,11,0.045,0.044,0.038,0.036,0.039,0.04,0.006,0.004,
2,2,B,11,0.042,0.041,0.038,0.036,0.039,0.039,0.003,0.002,
2,2,C,11,0.042,0.041,0.037,0.035,0.039,0.039,0.003,0.002,
2,2,D,11,0.041,0.04,0.037,0.035,0.039,0.039,0.002,0.001,
2,2,E,11,0.042,0.042,0.036,0.036,0.039,0.039,0.003,0.003,
2,2,F,11,0.043,0.044,0.039,0.039,0.042,0.043,0.001,0.001,
2,2,G,11,0.041,0.041,0.036,0.035,0.04,0.039,0.001,0.002,
2,2,H,11,0.043,0.041,0.037,0.034,0.04,0.039,0.003,0.002,
2,2,A,12,0.043,0.041,0.037,0.035,0.041,0.04,0.002,0.001,
2,2,B,12,0.045,0.042,0.036,0.034,0.039,0.038,0.006,0.004,
2,2,C,12,0.041,0.039,0.036,0.034,0.039,0.038,0.002,0.001,
2,2,D,12,0.046,0.044,0.037,0.034,0.04,0.039,0.006,0.005,
2,2,E,12,0.041,0.04,0.037,0.035,0.039,0.039,0.002,0.001,
2,2,F,12,0.042,0.041,0.038,0.036,0.04,0.039,0.002,0.002,
2,2,G,12,0.042,0.041,0.036,0.034,0.039,0.039,0.003,0.002,
2,2,H,12,0.042,0.041,0.037,0.034,0.041,0.04,0.001,0.001,
2,3,A,1,0.046,0.043,0.038,0.036,0.04,0.039,0.006,0.004,
2,3,B,1,0.046,0.043,0.036,0.034,0.037,0.037,0.009,0.006,
2,3,C,1,0.044,0.041,0.037,0.034,0.037,0.037,0.007,0.004,
2,3,D,1,0.044,0.044,0.036,0.034,0.038,0.037,0.006,0.007,
2,3,E,1,0.047,0.045,0.037,0.036,0.04,0.04,0.007,0.005,
2,3,F,1,0.045,0.042,0.038,0.035,0.039,0.039,0.006,0.003,
2,3,G,1,0.047,0.044,0.037,0.035,0.04,0.039,0.007,0.005,
2,3,H,1,0.051,0.102,0.038,0.036,0.043,0.042,0.008,0.06,
2,3,A,2,0.045,0.044,0.038,0.037,0.039,0.04,0.006,0.004,
2,3,B,2,0.046,0.044,0.036,0.037,0.038,0.039,0.008,0.005,
2,3,C,2,0.047,0.043,0.038,0.034,0.039,0.037,0.008,0.006,
2,3,D,2,0.046,0.044,0.037,0.034,0.038,0.038,0.008,0.006,
2,3,E,2,0.047,0.045,0.036,0.035,0.038,0.038,0.009,0.007,
2,3,F,2,0.048,0.046,0.036,0.034,0.038,0.04,0.01,0.006,
2,3,G,2,0.044,0.041,0.036,0.034,0.039,0.038,0.005,0.003,
2,3,H,2,0.048,0.044,0.036,0.034,0.04,0.039,0.008,0.005,
2,3,A,3,0.046,0.044,0.039,0.037,0.04,0.04,0.006,0.004,
2,3,B,3,0.043,0.044,0.036,0.037,0.037,0.039,0.006,0.005,
2,3,C,3,0.044,0.042,0.037,0.034,0.038,0.037,0.006,0.005,
2,3,D,3,0.046,0.043,0.038,0.035,0.04,0.038,0.006,0.005,
2,3,E,3,0.044,0.041,0.037,0.034,0.039,0.037,0.005,0.004,
2,3,F,3,0.043,0.04,0.038,0.034,0.04,0.036,0.003,0.004,
2,3,G,3,0.043,0.041,0.037,0.036,0.039,0.039,0.004,0.002,
2,3,H,3,0.045,0.044,0.036,0.034,0.039,0.038,0.006,0.006,
2,3,A,4,0.045,0.043,0.038,0.036,0.04,0.04,0.005,0.003,
2,3,B,4,0.046,0.045,0.038,0.038,0.038,0.041,0.008,0.004,
2,3,C,4,0.046,0.042,0.038,0.034,0.038,0.036,0.008,0.006,
2,3,D,4,0.039,0.037,0.039,0.037,0.041,0.04,-0.002,-0.003,
2,3,E,4,0.047,0.047,0.036,0.038,0.039,0.041,0.008,0.006,
2,3,F,4,0.045,0.044,0.036,0.036,0.038,0.039,0.007,0.005,
2,3,G,4,0.047,0.046,0.036,0.035,0.038,0.039,0.009,0.007,
2,3,H,4,0.047,0.044,0.037,0.034,0.041,0.039,0.006,0.005,
2,3,A,5,0.044,0.043,0.037,0.035,0.04,0.041,0.004,0.002,
2,3,B,5,0.044,0.043,0.036,0.036,0.039,0.042,0.005,0.001,
2,3,C,5,0.043,0.041,0.037,0.034,0.04,0.039,0.003,0.002,
2,3,D,5,0.044,0.043,0.037,0.036,0.039,0.041,0.005,0.002,
2,3,E,5,0.042,0.044,0.037,0.038,0.039,0.043,0.003,0.001,
2,3,F,5,0.045,0.041,0.038,0.035,0.041,0.041,0.004,0,
2,3,G,5,0.044,0.045,0.036,0.037,0.039,0.043,0.005,0.002,
2,3,H,5,0.046,0.044,0.038,0.036,0.041,0.042,0.005,0.002,
2,3,A,6,0.046,0.043,0.036,0.034,0.039,0.038,0.007,0.005,
2,3,B,6,0.045,0.042,0.036,0.034,0.039,0.038,0.006,0.004,
2,3,C,6,0.047,0.044,0.038,0.035,0.041,0.039,0.006,0.005,
2,3,D,6,0.049,0.045,0.037,0.035,0.039,0.039,0.01,0.006,
2,3,E,6,0.046,0.043,0.036,0.034,0.039,0.038,0.007,0.005,
2,3,F,6,0.047,0.044,0.036,0.034,0.039,0.038,0.008,0.006,
2,3,G,6,0.046,0.047,0.037,0.036,0.04,0.04,0.006,0.007,
2,3,H,6,0.05,0.046,0.038,0.035,0.04,0.039,0.01,0.007,
2,3,A,7,0.043,0.042,0.037,0.035,0.04,0.039,0.003,0.003,
2,3,B,7,0.042,0.041,0.036,0.034,0.038,0.038,0.004,0.003,
2,3,C,7,0.044,0.042,0.036,0.034,0.039,0.038,0.005,0.004,
2,3,D,7,0.042,0.04,0.037,0.034,0.039,0.039,0.003,0.001,
2,3,E,7,0.043,0.041,0.036,0.034,0.04,0.039,0.003,0.002,
2,3,F,7,0.044,0.042,0.037,0.035,0.039,0.038,0.005,0.004,
2,3,G,7,0.044,0.042,0.038,0.036,0.041,0.04,0.003,0.002,
2,3,H,7,0.049,0.049,0.04,0.041,0.045,0.047,0.004,0.002,
2,3,A,8,0.045,0.043,0.036,0.034,0.039,0.039,0.006,0.004,
2,3,B,8,0.047,0.043,0.036,0.033,0.039,0.038,0.008,0.005,
2,3,C,8,0.045,0.043,0.037,0.035,0.039,0.038,0.006,0.005,
2,3,D,8,0.044,0.042,0.036,0.035,0.039,0.039,0.005,0.003,
2,3,E,8,0.048,0.047,0.037,0.036,0.04,0.041,0.008,0.006,
2,3,F,8,0.051,0.047,0.038,0.036,0.039,0.039,0.012,0.008,
2,3,G,8,0.047,0.045,0.038,0.037,0.04,0.04,0.007,0.005,
2,3,H,8,0.049,0.044,0.039,0.035,0.041,0.04,0.008,0.004,
2,3,A,9,0.043,0.042,0.038,0.035,0.041,0.04,0.002,0.002,
2,3,B,9,0.044,0.042,0.036,0.034,0.039,0.039,0.005,0.003,
2,3,C,9,0.045,0.043,0.037,0.034,0.04,0.039,0.005,0.004,
2,3,D,9,0.042,0.041,0.038,0.037,0.041,0.04,0.001,0.001,
2,3,E,9,0.045,0.045,0.036,0.038,0.04,0.043,0.005,0.002,
2,3,F,9,0.043,0.041,0.037,0.034,0.04,0.039,0.003,0.002,
2,3,G,9,0.044,0.044,0.036,0.037,0.038,0.041,0.006,0.003,
2,3,H,9,0.046,0.043,0.038,0.034,0.041,0.039,0.005,0.004,
2,3,A,10,0.045,0.043,0.037,0.034,0.04,0.039,0.005,0.004,
2,3,B,10,0.045,0.043,0.037,0.036,0.038,0.038,0.007,0.005,
2,3,C,10,0.049,0.045,0.037,0.034,0.039,0.038,0.01,0.007,
2,3,D,10,0.047,0.044,0.038,0.035,0.04,0.039,0.007,0.005,
2,3,E,10,0.047,0.045,0.037,0.037,0.042,0.042,0.005,0.003,
2,3,F,10,0.049,0.045,0.038,0.034,0.04,0.038,0.009,0.007,
2,3,G,10,0.048,0.045,0.037,0.035,0.04,0.039,0.008,0.006,
2,3,H,10,0.048,0.045,0.037,0.034,0.041,0.039,0.007,0.006,
2,3,A,11,0.042,0.042,0.038,0.036,0.039,0.04,0.003,0.002,
2,3,B,11,0.042,0.041,0.038,0.036,0.039,0.039,0.003,0.002,
2,3,C,11,0.043,0.042,0.037,0.035,0.039,0.039,0.004,0.003,
2,3,D,11,0.043,0.041,0.037,0.035,0.039,0.039,0.004,0.002,
2,3,E,11,0.045,0.043,0.036,0.036,0.039,0.039,0.006,0.004,
2,3,F,11,0.049,0.048,0.039,0.039,0.042,0.043,0.007,0.005,
2,3,G,11,0.043,0.041,0.036,0.035,0.04,0.039,0.003,0.002,
2,3,H,11,0.042,0.041,0.037,0.034,0.04,0.039,0.002,0.002,
2,3,A,12,0.044,0.042,0.037,0.035,0.041,0.04,0.003,0.002,
2,3,B,12,0.042,0.04,0.036,0.034,0.039,0.038,0.003,0.002,
2,3,C,12,0.042,0.041,0.036,0.034,0.039,0.038,0.003,0.003,
2,3,D,12,0.043,0.041,0.037,0.034,0.04,0.039,0.003,0.002,
2,3,E,12,0.045,0.042,0.037,0.035,0.039,0.039,0.006,0.003,
2,3,F,12,0.044,0.042,0.038,0.036,0.04,0.039,0.004,0.003,
2,3,G,12,0.043,0.041,0.036,0.034,0.039,0.039,0.004,0.002,
2,3,H,12,0.044,0.042,0.037,0.034,0.041,0.04,0.003,0.002,
