round,plate,row,col,od600,od750,r3empty600,r3empty750,r3startRO600,r3startRO750,r3endRO600,r3endRO750,meanROr3600,meanROr3750,blankod600,blankod750,note
3,3,F,5,0.044,0.043,0.048,0.045,0.04,0.038,0.04,0.039,0.04,0.04,0.004,0.003,
3,3,G,5,0.05,0.057,0.046,0.047,0.039,0.041,0.039,0.041,0.039,0.04,0.011,0.017,
3,3,H,5,0.043,0.041,0.049,0.046,0.043,0.042,0.041,0.041,0.042,0.0415,0.001,-0.0005,
3,3,A,6,0.051,0.042,0.047,0.045,0.038,0.038,0.04,0.04,0.039,0.0395,0.012,0.0025,
3,3,B,6,0.08,0.053,0.046,0.044,0.038,0.038,0.039,0.038,0.0385,0.039,0.0415,0.014,
3,3,C,6,0.047,0.045,0.048,0.046,0.04,0.039,0.041,0.04,0.0405,0.0385,0.0065,0.0065,
3,3,D,6,0.058,0.051,0.047,0.045,0.039,0.039,0.039,0.039,0.039,0.0395,0.019,0.0115,
3,3,E,6,0.045,0.042,0.046,0.044,0.039,0.038,0.039,0.038,0.039,0.0385,0.006,0.0035,
3,3,F,6,0.048,0.047,0.047,0.044,0.039,0.038,0.039,0.039,0.039,0.038,0.009,0.009,
3,3,G,6,0.046,0.048,0.048,0.046,0.04,0.041,0.04,0.04,0.04,0.04,0.006,0.008,
3,3,H,6,0.045,0.043,0.048,0.045,0.04,0.039,0.041,0.04,0.0405,0.0395,0.0045,0.0035,
3,3,A,7,0.043,0.041,0.047,0.046,0.039,0.041,0.042,0.041,0.0405,0.0405,0.0025,0.0005,
3,3,B,7,0.042,0.041,0.046,0.044,0.039,0.038,0.041,0.04,0.04,0.0395,0.002,0.0015,
3,3,C,7,0.046,0.045,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.039,0.007,0.006,
3,3,D,7,0.04,0.039,0.048,0.045,0.039,0.038,0.04,0.039,0.0395,0.0385,0.0005,0.0005,
3,3,E,7,0.044,0.042,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.0385,0.005,0.0035,
3,3,F,7,0.047,0.048,0.047,0.045,0.039,0.039,0.039,0.039,0.039,0.039,0.008,0.009,
3,3,G,7,0.056,0.048,0.049,0.047,0.04,0.04,0.041,0.04,0.0405,0.0395,0.0155,0.0085,
3,3,H,7,0.056,0.06,0.053,0.053,0.044,0.046,0.046,0.047,0.045,0.043,0.011,0.017,
3,3,A,8,0.045,0.044,0.047,0.045,0.039,0.038,0.04,0.04,0.0395,0.0425,0.0055,0.0015,
3,3,B,8,0.063,0.053,0.047,0.044,0.039,0.038,0.039,0.038,0.039,0.039,0.024,0.014,
3,3,C,8,0.045,0.043,0.048,0.045,0.039,0.038,0.04,0.039,0.0395,0.038,0.0055,0.005,
3,3,D,8,0.122,0.112,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.0385,0.083,0.0735,
3,3,E,8,0.043,0.047,0.047,0.046,0.039,0.04,0.04,0.04,0.0395,0.0395,0.0035,0.0075,
3,3,F,8,0.083,0.073,0.048,0.047,0.04,0.04,0.04,0.04,0.04,0.04,0.043,0.033,
3,3,G,8,0.08,0.062,0.049,0.047,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.022,
3,3,H,8,0.05,0.044,0.049,0.045,0.041,0.039,0.042,0.04,0.0415,0.0395,0.0085,0.0045,
3,3,A,9,0.042,0.048,0.048,0.046,0.04,0.04,0.04,0.04,0.04,0.04,0.002,0.008,
3,3,B,9,0.045,0.043,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.039,0.006,0.004,
3,3,C,9,0.044,0.042,0.048,0.045,0.039,0.039,0.04,0.039,0.0395,0.039,0.0045,0.003,
3,3,D,9,0.044,0.044,0.048,0.046,0.04,0.039,0.04,0.04,0.04,0.039,0.004,0.005,
3,3,E,9,0.05,0.059,0.046,0.048,0.039,0.041,0.039,0.042,0.039,0.0405,0.011,0.0185,
3,3,F,9,0.045,0.046,0.047,0.044,0.039,0.038,0.039,0.038,0.039,0.04,0.006,0.006,
3,3,G,9,0.045,0.049,0.047,0.047,0.039,0.041,0.039,0.041,0.039,0.0395,0.006,0.0095,
3,3,H,9,0.046,0.044,0.048,0.045,0.039,0.038,0.041,0.04,0.04,0.0395,0.006,0.0045,
3,3,A,10,0.04,0.039,0.047,0.045,0.039,0.039,0.04,0.039,0.0395,0.0395,0.0005,-0.0005,
3,3,B,10,0.041,0.042,0.047,0.046,0.039,0.039,0.039,0.04,0.039,0.039,0.002,0.003,
3,3,C,10,0.062,0.064,0.046,0.044,0.039,0.038,0.039,0.038,0.039,0.039,0.023,0.025,
3,3,D,10,0.046,0.044,0.047,0.044,0.04,0.038,0.04,0.039,0.04,0.038,0.006,0.006,
3,3,E,10,0.042,0.043,0.049,0.048,0.04,0.041,0.04,0.041,0.04,0.04,0.002,0.003,
3,3,F,10,0.049,0.05,0.049,0.045,0.04,0.038,0.04,0.038,0.04,0.0395,0.009,0.0105,
3,3,G,10,0.07,0.071,0.051,0.047,0.043,0.041,0.043,0.041,0.043,0.0395,0.027,0.0315,
3,3,H,10,0.048,0.045,0.05,0.046,0.039,0.038,0.041,0.04,0.04,0.0395,0.008,0.0055,
3,3,A,11,0.042,0.042,0.047,0.045,0.04,0.04,0.04,0.04,0.04,0.04,0.002,0.002,
3,3,B,11,0.04,0.041,0.047,0.046,0.039,0.039,0.039,0.039,0.039,0.0395,0.001,0.0015,
3,3,C,11,0.046,0.048,0.048,0.046,0.039,0.038,0.039,0.039,0.039,0.0385,0.007,0.0095,
3,3,D,11,0.079,0.089,0.047,0.044,0.038,0.038,0.039,0.039,0.0385,0.0385,0.0405,0.0505,
3,3,E,11,0.041,0.045,0.047,0.046,0.039,0.039,0.04,0.04,0.0395,0.039,0.0015,0.006,
3,3,F,11,0.044,0.044,0.052,0.051,0.041,0.043,0.041,0.043,0.041,0.0415,0.003,0.0025,
3,3,G,11,0.042,0.041,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.0405,0.003,0.0005,
3,3,H,11,0.057,0.054,0.047,0.045,0.039,0.038,0.041,0.04,0.04,0.0385,0.017,0.0155,
3,3,A,12,0.049,0.073,0.049,0.046,0.04,0.039,0.04,0.04,0.04,0.0395,0.009,0.0335,
3,3,B,12,0.051,0.091,0.046,0.044,0.039,0.038,0.039,0.038,0.039,0.039,0.012,0.052,
3,3,C,12,0.04,0.039,0.047,0.044,0.039,0.038,0.038,0.038,0.0385,0.038,0.0015,0.001,
3,3,D,12,0.043,0.042,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.038,0.004,0.004,
3,3,E,12,0.043,0.041,0.047,0.045,0.04,0.039,0.039,0.039,0.0395,0.039,0.0035,0.002,
3,3,F,12,0.088,0.085,0.048,0.046,0.04,0.039,0.04,0.039,0.04,0.039,0.048,0.046,
3,3,G,12,0.049,0.047,0.047,0.044,0.039,0.038,0.04,0.039,0.0395,0.0385,0.0095,0.0085,
3,3,H,12,0.05,0.054,0.048,0.045,0.04,0.039,0.04,0.04,0.04,0.039,0.01,0.015,
